version,jar,plugin,config,description,is_deprecated
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,case-insensitive-name-matching.cache-ttl,"",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,ldap.ssl.keystore.path,"Path to the PEM or JKS key store",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,security.json-pointer,"JSON pointer (RFC 6901) to mappings inside JSON config",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,jmx.base-name,"",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,ldap.allow-insecure,"Allow insecure connection to the LDAP server",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,ldap.timeout.read,"Timeout for reading data from LDAP",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,case-insensitive-name-matching,"",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,ldap.ssl.truststore.path,"Path to the PEM or JKS trust store",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,ldap.ssl.truststore.password,"Password for the trust store",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,ldap.ignore-referrals,"Referrals allow finding entries across multiple LDAP servers. Ignore them to only search within 1 LDAP server",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,ldap.url,"URL of the LDAP server",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,ldap.ssl.keystore.password,"Password for the key store",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,security.refresh-period,"",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,security.config-file,"",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,ldap.timeout.connect,"Timeout for establishing a connection",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,case-insensitive-name-matching.config-file.refresh-period,"",false
435,trino-server-435/lib/trino-plugin-toolkit-435.jar,,case-insensitive-name-matching.config-file,"",false
435,trino-server-435/lib/trino-main-435.jar,,deprecated.omit-datetime-type-precision,"Enable compatibility mode for legacy clients when rendering datetime type names with default precision",false
435,trino-server-435/lib/trino-main-435.jar,,query.schedule-split-batch-size,"",false
435,trino-server-435/lib/trino-main-435.jar,,task.cpu-timer-enabled,"",false
435,trino-server-435/lib/trino-main-435.jar,,web-ui.authentication.type,"Authentication type for the web ui",false
435,trino-server-435/lib/trino-main-435.jar,,query.remote-task.max-error-duration,"",false
435,trino-server-435/lib/trino-main-435.jar,,task.interrupt-stuck-split-tasks-enabled,"",false
435,trino-server-435/lib/trino-main-435.jar,,redistribute-writes,"",false
435,trino-server-435/lib/trino-main-435.jar,,dynamic-filtering.large.max-size-per-filter,"",false
435,trino-server-435/lib/trino-main-435.jar,,optimizer.mark-distinct-strategy,"Strategy to use for distinct aggregations",false
435,trino-server-435/lib/trino-main-435.jar,,optimizer.dictionary-aggregation,"",false
435,trino-server-435/lib/trino-main-435.jar,,query.max-stage-count,"",false
435,trino-server-435/lib/trino-main-435.jar,,task.per-operator-cpu-timer-enabled,"",false
435,trino-server-435/lib/trino-main-435.jar,,fault-tolerant-execution-max-task-split-count,"Maximal number of splits for a single fault tolerant task (count based)",false
435,trino-server-435/lib/trino-main-435.jar,,access-control.config-files,"",false
435,trino-server-435/lib/trino-main-435.jar,,spatial-joins-enabled,"Use spatial index for spatial joins when possible",false
435,trino-server-435/lib/trino-main-435.jar,,http-server.authentication.oauth2.principal-field,"The claim to use as the principal",false
435,trino-server-435/lib/trino-main-435.jar,,query.remote-task.guaranteed-splits-per-task,"",false
435,trino-server-435/lib/trino-main-435.jar,,fault-tolerant-execution-runtime-adaptive-partitioning-partition-count,"The partition count to use for runtime adaptive partitioning when enabled",false
