version,jar,plugin,config,description,is_deprecated
455,trino-server-455/lib/trino-main-455.jar,,experimental.thread-per-driver-scheduler-enabled,"",false
455,trino-server-455/lib/trino-main-455.jar,,exchange.client-threads,"",false
455,trino-server-455/lib/trino-main-455.jar,,sink.max-broadcast-buffer-size,"",false
455,trino-server-455/lib/trino-main-455.jar,,enable-large-dynamic-filters,"",false
455,trino-server-455/lib/trino-main-455.jar,,task-retry-attempts-per-task,"",false
455,trino-server-455/lib/trino-main-455.jar,,optimizer.join-multi-clause-independence-factor,"Scales the strength of independence assumption for selectivity estimates of multi-clause joins",false
455,trino-server-455/lib/trino-main-455.jar,,task.min-drivers,"",false
455,trino-server-455/lib/trino-main-455.jar,,query.dispatcher-query-pool-size,"",false
455,trino-server-455/lib/trino-main-455.jar,,spiller-spill-path,"",false
455,trino-server-455/lib/trino-main-455.jar,,distributed-sort,"",false
455,trino-server-455/lib/trino-main-455.jar,,dynamic-filtering.large.max-distinct-values-per-driver,"",false
455,trino-server-455/lib/trino-main-455.jar,,retry-max-delay,"Maximum delay before initiating a retry attempt. Delay increases exponentially for each subsequent attempt starting from 'retry_initial_delay'",false
455,trino-server-455/lib/trino-main-455.jar,,task.max-local-exchange-buffer-size,"",false
455,trino-server-455/lib/trino-main-455.jar,,catalog.prune.update-interval,"",false
455,trino-server-455/lib/trino-main-455.jar,,failure-detector.enabled,"",false
455,trino-server-455/lib/trino-main-455.jar,,memory-cost-weight,"",false
455,trino-server-455/lib/trino-main-455.jar,,http.authentication.krb5.config,"",false
455,trino-server-455/lib/trino-main-455.jar,,re2j.dfa-states-limit,"",false
455,trino-server-455/lib/trino-main-455.jar,,deprecated.omit-datetime-type-precision,"Enable compatibility mode for legacy clients when rendering datetime type names with default precision",false
455,trino-server-455/lib/trino-main-455.jar,,http-server.authentication.jwt.required-audience,"",false
455,trino-server-455/lib/trino-main-455.jar,,optimizer.rewrite-filtering-semi-join-to-inner-join,"",false
455,trino-server-455/lib/trino-main-455.jar,,fault-tolerant-execution-runtime-adaptive-partitioning-enabled,"",false
455,trino-server-455/lib/trino-main-455.jar,,http-server.authentication.oauth2.refresh-tokens.issued-token.audience,"Audience representing this coordinator instance, that will be used in issued token",false
455,trino-server-455/lib/trino-main-455.jar,,protocol.v1.prepared-statement-compression.min-gain,"Prepared statement compression is not applied if the size gain is less than the configured value",false
455,trino-server-455/lib/trino-main-455.jar,,node-scheduler.max-unacknowledged-splits-per-task,"Maximum number of leaf splits not yet delivered to a given task",false
455,trino-server-455/lib/trino-main-455.jar,,statistics-precalculation-for-pushdown.enabled,"",false
455,trino-server-455/lib/trino-main-455.jar,,spatial-joins-enabled,"Use spatial index for spatial joins when possible",false
455,trino-server-455/lib/trino-main-455.jar,,task.client.timeout,"",false
455,trino-server-455/lib/trino-main-455.jar,,fault-tolerant-execution-min-partition-count,"Minimum number of partitions for distributed joins and aggregations executed with fault tolerant execution enabled",false
455,trino-server-455/lib/trino-main-455.jar,,task.concurrency,"Default number of local parallel jobs per worker",false
455,trino-server-455/lib/trino-main-455.jar,,filter-and-project-min-output-page-row-count,"",false
455,trino-server-455/lib/trino-main-455.jar,,query.max-concurrent-queries,"",false
455,trino-server-455/lib/trino-main-455.jar,,management.user,"Optional fixed user for all requests to management endpoints",false
455,trino-server-455/lib/trino-main-455.jar,,failure-detector.expiration-grace-interval,"How long to wait before 'forgetting' a service after it disappears from discovery",false
455,trino-server-455/lib/trino-main-455.jar,,event.max-output-stage-size,"",false
455,trino-server-455/lib/trino-main-455.jar,,compiler.specialized-aggregation-loops,"",false
455,trino-server-455/lib/trino-main-455.jar,,exchange.compression-codec,"Compression codec used for data in exchanges",false
455,trino-server-455/lib/trino-main-455.jar,,transaction.max-finishing-concurrency,"Maximum parallelism for committing or aborting a transaction",false
455,trino-server-455/lib/trino-main-455.jar,,sql.default-function-schema,"",false
455,trino-server-455/lib/trino-main-455.jar,,http-server.authentication.oauth2.max-clock-skew,"Max clock skew between the Authorization Server and the coordinator",false
455,trino-server-455/lib/trino-main-455.jar,,node-scheduler.max-splits-per-node,"",false
455,trino-server-455/lib/trino-main-455.jar,,http-server.authentication.oauth2.additional-audiences,"Additional audiences to trust in addition to the Client ID",false
455,trino-server-455/lib/trino-main-455.jar,,query-max-spill-per-node,"",false
455,trino-server-455/lib/trino-main-455.jar,,discovery-server.enabled,"",false
455,trino-server-455/lib/trino-main-455.jar,,http-server.authentication.oauth2.token-url,"URL of the authorization server's token endpoint",false
455,trino-server-455/lib/trino-main-455.jar,,http-server.authentication.oauth2.token-url,"URL of the authorization server's token endpoint",false
455,trino-server-455/lib/trino-main-455.jar,,task.scale-writers.enabled,"Scale the number of concurrent table writers per task based on throughput",false
455,trino-server-455/lib/trino-main-455.jar,,warning-collector.max-warnings,"",false
